OTU.17	d:Eukaryota(1.00),p:Chordata(1.00),c:Actinopteri(1.00),o:Ophidiiformes(1.00),f:Ophidiidae(1.00),g:Genypterus(1.00),s:Genypterus_blacodes(1.00)	+	d:Eukaryota,p:Chordata,c:Actinopteri,o:Ophidiiformes,f:Ophidiidae,g:Genypterus,s:Genypterus_blacodes
OTU.18	d:Eukaryota(1.00),p:Chordata(1.00),c:Actinopteri(1.00),o:Carangiformes(1.00),f:Carangidae(1.00),g:Trachurus(1.00),s:Trachurus_japonicus(0.78)	+	d:Eukaryota,p:Chordata,c:Actinopteri,o:Carangiformes,f:Carangidae,g:Trachurus,s:Trachurus_japonicus
OTU.20	d:Eukaryota(1.00),p:Chordata(1.00),c:Chondrichthyes(1.00),o:Carcharhiniformes(1.00),f:Triakidae(1.00),g:Mustelus(1.00),s:Mustelus_asterias(1.00)	+	d:Eukaryota,p:Chordata,c:Chondrichthyes,o:Carcharhiniformes,f:Triakidae,g:Mustelus,s:Mustelus_asterias
OTU.19	d:Eukaryota(1.00),p:Chordata(1.00),c:Actinopteri(1.00),o:Tetraodontiformes(1.00),f:Monacanthidae(1.00),g:Meuschenia(0.93),s:Meuschenia_scaber(0.93)	+	d:Eukaryota,p:Chordata,c:Actinopteri,o:Tetraodontiformes,f:Monacanthidae,g:Meuschenia,s:Meuschenia_scaber
OTU.21	d:Eukaryota(1.00),p:Chordata(1.00),c:Actinopteri(1.00),o:Labriformes(1.00),f:Labridae(1.00),g:Notolabrus(0.43),s:Notolabrus_fucicola(0.43)	+	d:Eukaryota,p:Chordata,c:Actinopteri,o:Labriformes,f:Labridae
OTU.22	d:Eukaryota(1.00),p:Chordata(1.00),c:Actinopteri(1.00),o:Gadiformes(1.00),f:Moridae(1.00),g:Pseudophycis(1.00),s:Pseudophycis_bachus(1.00)	+	d:Eukaryota,p:Chordata,c:Actinopteri,o:Gadiformes,f:Moridae,g:Pseudophycis,s:Pseudophycis_bachus
OTU.23	d:Eukaryota(1.00),p:Chordata(1.00),c:Actinopteri(1.00),o:Blenniiformes(0.94),f:Tripterygiidae(0.94),g:Forsterygion(0.46),s:Forsterygion_lapillum(0.46)	+	d:Eukaryota,p:Chordata,c:Actinopteri,o:Blenniiformes,f:Tripterygiidae
OTU.24	d:Eukaryota(1.00),p:Chordata(1.00),c:Actinopteri(1.00),o:Labriformes(1.00),f:Odacidae(1.00),g:Odax(1.00),s:Odax_pullus(1.00)	+	d:Eukaryota,p:Chordata,c:Actinopteri,o:Labriformes,f:Odacidae,g:Odax,s:Odax_pullus
OTU.25				
OTU.27	d:Eukaryota(1.00),p:Chordata(1.00),c:Actinopteri(1.00),o:Scombriformes(1.00),f:Gempylidae(1.00),g:Thyrsites(1.00),s:Thyrsites_atun(1.00)	+	d:Eukaryota,p:Chordata,c:Actinopteri,o:Scombriformes,f:Gempylidae,g:Thyrsites,s:Thyrsites_atun
