Feature ID	Taxon	Confidence
OTU.45	d__Eukaryota;p__Chordata;c__Actinopteri;o__Centrarchiformes;f__Cheilodactylidae;g__Nemadactylus;s__Nemadactylus_macropterus	0.89
OTU.46	d__Eukaryota;p__Chordata;c__Actinopteri;o__Perciformes;f__Bovichtidae;g__Bovichtus;s__Bovichtus_variegatus	0.64
OTU.51	d__Eukaryota;p__Chordata;c__Actinopteri;o__Centrarchiformes;f__Cheilodactylidae;g__Nemadactylus;s__Nemadactylus_macropterus	0.62
OTU.50	d__Eukaryota;p__Chordata;c__Actinopteri;o__Scombriformes;f__Gempylidae;g__Thyrsites;s__Thyrsites_atun	0.68
OTU.52	d__Eukaryota;p__Chordata;c__Actinopteri;o__Centrarchiformes;f__Cheilodactylidae	0.70
OTU.54	d__Eukaryota;p__Chordata;c__Actinopteri;o__Blenniiformes;f__Tripterygiidae;g__Forsterygion	1.00
OTU.57	d__Eukaryota;p__Chordata;c__Actinopteri;o__Labriformes;f__Labridae;g__Notolabrus;s__Notolabrus_celidotus	0.98
OTU.47	d__Eukaryota;p__Chordata;c__Actinopteri;o__Mugiliformes;f__Mugilidae;g__Aldrichetta;s__Aldrichetta_forsteri	1.00
OTU.55	d__Eukaryota;p__Chordata;c__Actinopteri;o__Labriformes;f__Labridae;g__Notolabrus;s__Notolabrus_celidotus	0.93
OTU.58	d__Eukaryota;p__Chordata;c__Actinopteri	1.00
OTU.60	d__Eukaryota;p__Chordata;c__Actinopteri;o__Blenniiformes;f__Tripterygiidae;g__Forsterygion;s__Forsterygion_lapillum	0.70
OTU.53	d__Eukaryota;p__Chordata;c__Chondrichthyes;o__Myliobatiformes;f__Dasyatidae;g__Bathytoshia;s__Bathytoshia_brevicaudata	0.79
OTU.56	d__Eukaryota;p__Chordata;c__Actinopteri;o__Mugiliformes;f__Mugilidae;g__Aldrichetta;s__Aldrichetta_forsteri	1.00
OTU.61	d__Eukaryota;p__Chordata;c__Actinopteri;o__Centrarchiformes;f__Cheilodactylidae;g__Nemadactylus	0.69
OTU.62	d__Eukaryota;p__Chordata;c__Actinopteri;o__Syngnathiformes;f__Syngnathidae	0.60
OTU.59	d__Eukaryota;p__Chordata;c__Actinopteri;o__Labriformes;f__Labridae;g__Notolabrus;s__Notolabrus_celidotus	0.64
OTU.65	d__Eukaryota;p__Chordata;c__Actinopteri;o__Labriformes;f__Labridae	1.00
OTU.63	d__Eukaryota;p__Chordata;c__Actinopteri;o__Mugiliformes;f__Mugilidae;g__Aldrichetta;s__Aldrichetta_forsteri	0.61
OTU.68	d__Eukaryota;p__Chordata;c__Actinopteri;o__Blenniiformes;f__Tripterygiidae;g__Forsterygion;s__Forsterygion_capito	0.85
OTU.67	d__Eukaryota;p__Chordata;c__Actinopteri;o__Centrarchiformes;f__Cheilodactylidae;g__Nemadactylus;s__Nemadactylus_macropterus	0.87
OTU.66	d__Eukaryota;p__Chordata;c__Actinopteri;o__Scombriformes;f__Gempylidae;g__Thyrsites;s__Thyrsites_atun	1.00
OTU.64	d__Eukaryota;p__Chordata;c__Actinopteri;o__Blenniiformes;f__Tripterygiidae;g__Forsterygion	1.00
OTU.71	d__Eukaryota;p__Chordata;c__Actinopteri;o__Mugiliformes;f__Mugilidae	0.61
OTU.69	d__Eukaryota;p__Chordata;c__Actinopteri;o__Blenniiformes;f__Tripterygiidae;g__Forsterygion;s__Forsterygion_lapillum	0.83
OTU.70	d__Eukaryota;p__Chordata;c__Actinopteri;o__Centrarchiformes;f__Cheilodactylidae;g__Nemadactylus;s__Nemadactylus_macropterus	0.62
OTU.73	d__Eukaryota;p__Chordata;c__Actinopteri;o__Centrarchiformes;f__Cheilodactylidae;g__Cheilodactylus;s__Cheilodactylus_variegatus	0.79
OTU.72	d__Eukaryota;p__Chordata;c__Actinopteri;o__Labriformes;f__Labridae;g__Notolabrus;s__Notolabrus_celidotus	0.86
OTU.76	d__Eukaryota;p__Chordata;c__Chondrichthyes;o__Myliobatiformes;f__Dasyatidae;g__Bathytoshia;s__Bathytoshia_brevicaudata	1.00
OTU.77	d__Eukaryota;p__Chordata;c__Actinopteri;o__Labriformes;f__Labridae;g__Notolabrus;s__Notolabrus_celidotus	0.67
OTU.75	d__Eukaryota;p__Chordata;c__Actinopteri;o__Blenniiformes;f__Tripterygiidae;g__Forsterygion;s__Forsterygion_lapillum	0.85
OTU.80	d__Eukaryota;p__Chordata;c__Actinopteri;o__Beloniformes;f__Hemiramphidae;g__Hyporhamphus;s__Hyporhamphus_melanochir	0.99
OTU.74	d__Eukaryota;p__Chordata;c__Actinopteri;o__Centrarchiformes;f__Cheilodactylidae;g__Cheilodactylus	0.94
OTU.79	d__Eukaryota;p__Chordata;c__Actinopteri;o__Perciformes;f__Plesiopidae;g__Acanthoclinus;s__Acanthoclinus_fuscus	0.99
OTU.78	d__Eukaryota;p__Chordata;c__Actinopteri;o__Perciformes;f__Plesiopidae;g__Acanthoclinus;s__Acanthoclinus_fuscus	0.75
OTU.82	d__Eukaryota;p__Chordata;c__Actinopteri;o__Scombriformes;f__Gempylidae;g__Thyrsites;s__Thyrsites_atun	1.00
OTU.81	d__Eukaryota;p__Chordata;c__Actinopteri;o__Blenniiformes;f__Tripterygiidae;g__Forsterygion;s__Forsterygion_lapillum	0.62
OTU.83	d__Eukaryota;p__Chordata;c__Actinopteri	1.00
OTU.84	d__Eukaryota;p__Chordata;c__Actinopteri;o__Mugiliformes;f__Mugilidae;g__Aldrichetta;s__Aldrichetta_forsteri	0.96
OTU.85	d__Eukaryota;p__Chordata;c__Actinopteri;o__Mugiliformes;f__Mugilidae;g__Aldrichetta;s__Aldrichetta_forsteri	0.99
OTU.86	d__Eukaryota;p__Chordata;c__Actinopteri;o__Centrarchiformes;f__Cheilodactylidae;g__Nemadactylus;s__Nemadactylus_macropterus	0.87
OTU.88	d__Eukaryota;p__Chordata;c__Actinopteri;o__Blenniiformes;f__Tripterygiidae;g__Forsterygion;s__Forsterygion_lapillum	0.91
OTU.90	d__Eukaryota;p__Chordata;c__Actinopteri;o__Scombriformes;f__Gempylidae;g__Thyrsites;s__Thyrsites_atun	0.98
OTU.87	d__Eukaryota;p__Chordata;c__Actinopteri;o__Clupeiformes;f__Clupeidae;g__Sprattus;s__Sprattus_antipodum	0.86
OTU.89	d__Eukaryota;p__Chordata;c__Actinopteri;o__Perciformes;f__Bovichtidae;g__Bovichtus;s__Bovichtus_variegatus	1.00
OTU.92	d__Eukaryota;p__Chordata;c__Actinopteri;o__Scombriformes;f__Gempylidae;g__Thyrsites;s__Thyrsites_atun	1.00
OTU.91	d__Eukaryota;p__Chordata;c__Actinopteri;o__Beloniformes;f__Hemiramphidae;g__Hyporhamphus;s__Hyporhamphus_melanochir	0.99
OTU.93	d__Eukaryota;p__Chordata;c__Actinopteri;o__Mugiliformes;f__Mugilidae;g__Aldrichetta;s__Aldrichetta_forsteri	0.89
OTU.95	d__Eukaryota;p__Chordata;c__Actinopteri;o__Clupeiformes;f__Clupeidae;g__Sprattus;s__Sprattus_antipodum	0.89
OTU.96	d__Eukaryota;p__Chordata;c__Actinopteri;o__Labriformes;f__Labridae;g__Notolabrus;s__Notolabrus_celidotus	0.99
OTU.94	d__Eukaryota;p__Chordata;c__Actinopteri;o__Mugiliformes;f__Mugilidae;g__Aldrichetta;s__Aldrichetta_forsteri	0.92
OTU.99	Unassigned	0.0
OTU.97	d__Eukaryota;p__Chordata;c__Actinopteri;o__Centrarchiformes;f__Cheilodactylidae;g__Nemadactylus	0.78
OTU.101	d__Eukaryota;p__Chordata;c__Actinopteri;o__Blenniiformes;f__Tripterygiidae;g__Forsterygion;s__Forsterygion_lapillum	1.00
OTU.102	d__Eukaryota;p__Chordata;c__Actinopteri	1.00
OTU.100	d__Eukaryota;p__Chordata;c__Actinopteri;o__Scombriformes;f__Gempylidae;g__Thyrsites;s__Thyrsites_atun	1.00
OTU.98	d__Eukaryota;p__Chordata;c__Actinopteri;o__Perciformes;f__Plesiopidae;g__Acanthoclinus;s__Acanthoclinus_fuscus	1.00
OTU.104	d__Eukaryota;p__Chordata;c__Actinopteri;o__Anguilliformes;f__Congridae;g__Conger;s__Conger_erebennus	0.79
OTU.103	d__Eukaryota;p__Chordata;c__Actinopteri;o__Labriformes;f__Labridae;g__Notolabrus;s__Notolabrus_celidotus	0.99
OTU.107	d__Eukaryota;p__Chordata;c__Actinopteri;o__Blenniiformes;f__Tripterygiidae;g__Forsterygion;s__Forsterygion_sp.	0.62
OTU.106	d__Eukaryota;p__Chordata;c__Actinopteri;o__Labriformes;f__Labridae;g__Notolabrus;s__Notolabrus_fucicola	0.98
OTU.105	d__Eukaryota;p__Chordata;c__Actinopteri;o__Carangiformes;f__Carangidae;g__Trachurus	0.97
OTU.109	d__Eukaryota;p__Chordata;c__Actinopteri;o__Syngnathiformes;f__Syngnathidae;g__Pugnaso;s__Pugnaso_curtirostris	0.73
OTU.108	d__Eukaryota;p__Chordata;c__Actinopteri;o__Mugiliformes;f__Mugilidae;g__Aldrichetta;s__Aldrichetta_forsteri	0.98
OTU.111	d__Eukaryota;p__Chordata;c__Actinopteri;o__Labriformes;f__Labridae;g__Pseudolabrus;s__Pseudolabrus_miles	0.74
OTU.112	d__Eukaryota;p__Chordata;c__Actinopteri;o__Scombriformes;f__Gempylidae;g__Thyrsites;s__Thyrsites_atun	1.00
OTU.110	Unassigned	0.0
OTU.113	d__Eukaryota;p__Chordata;c__Actinopteri;o__Blenniiformes;f__Tripterygiidae;g__Forsterygion;s__Forsterygion_lapillum	1.00
